log_id,event_id,user_id,timestamp,isp,bitrate,buffer_events,rebuffer_ratio,startup_time_ms,error_type,cdn_node,bytes_transferred
9e90f57b-5d36-49a6-95cf-03dce7093f98,f4462eae-59fe-4d81-b9b5-bfd71074eb1e,usr_000082,2020-10-18 17:21:17,Mobily,128kbps,0,0.0,599,,cdn-fra-18,29576803
448c1fd5-048f-4227-be5a-265294f29ac7,7ed0eb32-9290-457f-b75e-f59b8ea15f04,usr_001314,2022-03-22 22:20:58,Batelco,64kbps,0,0.026,3018,403_forbidden,cdn-fra-05,23728581
883fee0e-cb6d-4b6d-8113-7e485d2828f0,659b4eff-9bb8-40ad-943a-4580bb5945fa,usr_004996,2020-10-18 10:02:56,Unknown,128kbps,2,0.0,2535,connection_reset,cdn-ruh-09,43870802
b7136d58-0bbb-4e1f-93ea-31d905f088d8,fac1c4f9-26e0-42ca-bdc2-ccdcaafb4850,usr_001294,2022-04-29 20:18:37,Zain,128kbps,0,0.0026,2220,,cdn-fra-11,47730811
edeaf34a-bd99-4fa7-9569-e4131c1727c2,3ace8b86-b41b-461a-bc2a-d85d4609174a,usr_004820,2021-11-11 10:04:03,Unknown,256kbps,0,0.1118,269,,cdn-fra-18,30819815
320ec625-bb69-4f34-9ae2-5a167027a582,fb5719bb-c7e9-4312-900f-0d0475a45a24,usr_002518,2022-07-19 18:20:45,Unknown,64kbps,5,0.1032,942,dns_failure,cdn-jed-02,32825692
c8615ca0-e3d5-436f-bb95-17bda9608324,49668079-b7f3-4189-a14a-53f6eb60408f,usr_000664,2023-07-06 23:22:23,Mobily,64kbps,0,0.0,2275,403_forbidden,cdn-ams-11,24640101
2eab1e73-303d-40c1-84f9-041393e26afd,8e5916b6-06a3-4850-86b8-257bf4d36fc3,usr_004813,2020-12-27 20:24:38,Etisalat,64kbps,4,0.0631,3265,dns_failure,cdn-ruh-19,6405076
a6c8d51d-dc40-4f7a-8f1b-b28bbe716387,7b5d9419-a05e-45e9-9cb0-35b4aa89c225,usr_001461,2022-01-13 21:36:57,Etisalat,256kbps,0,0.0,710,timeout,cdn-jed-20,2688076
799e813a-b250-433d-ba32-c7a14eddd373,37e6d6b7-d711-43be-833d-57c2ac209d19,usr_001324,2023-12-03 19:17:42,Batelco,128kbps,0,0.0,619,timeout,cdn-fra-09,4974971
3b65dca8-e55b-4d71-a59f-34c1c87079be,0e214939-7cec-4685-b7ef-60deb244a194,usr_001869,2022-10-07 10:59:43,STC,64kbps,4,0.1253,2382,buffer_underrun,cdn-jed-02,48130271
8f061169-8ffe-4929-bb05-df9cd7027c67,89cfde19-a15c-4848-bc80-98e491aaf735,usr_001690,2023-02-01 02:12:02,Mobily,320kbps,0,0.0,2715,dns_failure,cdn-ruh-16,14973646
46c012ce-1035-4e49-8b2a-d625644556c6,688c250b-dda1-4faa-abf7-695f54726276,usr_003126,2021-09-28 09:29:35,Zain,256kbps,0,0.019,2698,,cdn-ruh-08,41994890
246407f3-3a4c-4f17-b8c2-d305f59acb86,3479f369-7301-4643-b8c2-47a5ae3f4ef7,usr_000808,2023-10-02 15:43:24,Ooredoo,64kbps,0,0.0,1322,,cdn-jed-17,40333765
9cbc2973-6126-4537-90b2-9cd34e6726f6,6cbcb7cd-31d2-4bbc-8aae-c0cef9258fb0,usr_004095,2021-07-14 21:38:33,STC,320kbps,2,0.0,2593,buffer_underrun,cdn-jed-11,10030292
65193b18-fef1-4bbc-bedf-f72c9e79a016,37a188c6-b728-47cb-9918-2ed6cbb358ce,usr_000340,2020-04-28 20:39:21,Mobily,128kbps,3,0.133,978,403_forbidden,cdn-fra-01,29239500
2fd8a2c3-5e72-4ddc-911d-dbcae5b77554,3e7ec0a7-c669-4831-bcad-c037af6ba2e2,usr_000587,2021-10-01 07:52:24,Unknown,320kbps,0,0.0,2268,,cdn-ams-03,45140690
55d57ec8-b5d1-44e2-9899-e36b9263c591,d3621ad6-1860-41d4-b20a-5ee7c15ba9ce,usr_004636,2022-10-29 20:39:59,Etisalat,256kbps,0,0.0,1067,,cdn-fra-10,30691011
855ae083-af31-4f02-b8b2-33bc4dfd39d1,0df7176f-223b-4d19-b1ec-da4e3496da35,usr_004210,2022-01-18 21:32:23,Ooredoo,256kbps,0,0.0,697,,cdn-dxb-13,17190157
774ef162-071c-4252-9fd0-bb68890c3b4e,b1c323be-0ce3-464f-b637-970b7b2e4389,usr_003531,2022-09-29 00:49:31,Unknown,320kbps,5,0.0,1785,connection_reset,cdn-ams-17,4383655
10b5faab-79c7-4419-8e12-93da974ac24c,1f50b0cc-b7a9-4d67-ab05-2a7ada83587c,usr_000846,2021-02-04 15:06:15,STC,128kbps,0,0.1099,-1344,,cdn-dxb-08,7815202
f00da529-0f03-4a87-a9f0-74c7a8dc97fd,e06f9b04-8ee8-4ff2-9e81-bbc0f81804ec,usr_003161,2021-07-06 18:13:49,Batelco,128kbps,0,0.0,2238,,cdn-jed-03,17036966
fc04e92f-181b-4296-a64f-3f81ecc6084b,faf35512-56a0-4373-b855-32a37c7277e1,usr_001776,2024-01-30 13:51:51,Mobily,320kbps,1,0.0,1197,,cdn-dxb-08,23318835
fc02370f-292f-4dec-9632-c49043d1a44e,5d96b0aa-415c-495a-b1b0-511c905a00df,usr_004979,2023-01-26 16:18:44,Zain,256kbps,1,0.0,2154,,cdn-jed-08,25519229
66dac37e-ff80-4dbc-a63a-4f7c2cd30cb8,710911a3-0553-45cf-8b7e-934950638a39,usr_004067,2021-11-15 21:09:28,Batelco,64kbps,0,0.0385,1720,,cdn-ruh-04,23937738
776bd270-8c4f-45e5-8e43-9c657105a770,df29867d-232b-4535-a933-7d6e78d27837,usr_003972,2021-11-04 19:51:51,Batelco,256kbps,0,0.0,1892,,cdn-fra-02,23690920
c8de675a-40b3-464c-a7c9-3cfa92e40a32,d5a117ef-90cb-4153-9796-13db95dfa860,usr_004445,2022-06-20 08:11:34,Mobily,64kbps,0,0.0,2352,,cdn-dxb-11,38174496
70fb3d63-1105-4526-b4ea-7d0c4683dd64,1b6c7a9e-4c7e-42ae-92cc-8c0e5e0bb827,usr_002991,2022-04-11 10:19:02,Etisalat,256kbps,0,0.0,1736,,cdn-fra-01,28563725
f5e22fbc-1077-43ca-a62d-ed8379666f02,6b3aebf0-5759-4516-879f-5cb9a251807f,usr_002057,2019-01-12 17:39:21,Batelco,256kbps,3,0.0869,2224,dns_failure,cdn-jed-04,873772
a3f6d072-ea2a-4a0a-b921-4f9b054dafa7,cc96e2d8-1ac5-4c65-8a15-c11101786f58,usr_000452,2019-11-22 00:15:32,Mobily,320kbps,0,0.0,1090,connection_reset,cdn-dxb-19,46579219
b3329d9a-ab86-495a-a287-a60d35e526e7,016ae0ec-6ec4-428f-aef9-9ea408e9a6c2,usr_004382,2021-02-14 20:10:49,STC,256kbps,0,0.0949,246,,cdn-ruh-08,23587931
6961798d-9b0e-40ac-b312-39d6b3df47bf,62665231-93a3-4225-8989-619c08ddf473,usr_001025,2022-11-08 23:52:45,Zain,320kbps,0,0.0,887,,cdn-jed-06,45581922
13cdcf7f-94c6-4e0e-9659-fab4a7c8ca53,45637361-cd55-486e-97bd-c75da1923b6f,usr_001575,2023-07-28 21:41:29,Batelco,320kbps,0,0.0,651,,cdn-jed-17,32622302
56092955-2ca6-441b-859c-3144c3a02405,ea746a2c-092c-4ec7-9e96-15520f930425,usr_000790,2022-09-24 16:04:03,STC,64kbps,0,0.0,2085,dns_failure,cdn-dxb-02,37621129
4f4dce6b-0e68-46a1-ae53-2ef6c182c95d,f23c79f8-d74e-4c28-a85e-082c9ee89e12,usr_004257,2020-05-27 12:01:23,du,320kbps,0,0.0,538,,cdn-dxb-17,27727624
b74c7a8d-d2a4-44f3-8932-c4fd16c4aaa7,0606d33f-03d5-44f8-99ac-626dad82d893,usr_002009,2021-11-17 15:33:55,Zain,64kbps,2,0.0,-134,,cdn-jed-18,6180247
a8598570-ae11-406b-9739-758d4768d3fe,06e8347f-54c6-421f-9212-7d70dc4e49e9,usr_000683,2020-01-22 18:58:54,Mobily,128kbps,0,0.0,2089,dns_failure,cdn-ruh-14,45045958
ec6f3b72-724e-4c58-b852-6de231bf0d8b,d767cc14-3d2d-427e-8640-2f54a38d7290,usr_000101,2021-09-10 10:08:50,Batelco,64kbps,5,0.0,2457,buffer_underrun,cdn-ruh-16,34290931
2229fe14-1585-4b3d-b2dc-cbeb915c8736,2c559107-cd36-4dfa-99fb-dd552704818f,usr_002254,2024-04-08 21:32:04,Etisalat,256kbps,1,0.1418,1655,,cdn-ruh-14,34716019
cfb08099-83c6-45aa-89c7-43643ef9a980,317ca36c-fb8b-4148-867a-ab903a197a4b,usr_000033,2021-09-30 23:58:51,Mobily,256kbps,0,0.0,1153,,cdn-jed-19,29442898
831943c8-590e-49f2-ab76-c39ab9feee39,96b6b57f-b9fd-4b2a-a9c3-483c49e47eb3,usr_003579,2022-07-01 18:27:49,Etisalat,320kbps,0,0.0,2802,,cdn-jed-20,41514171
cef7e849-ae9a-4dea-aa2e-8aec117f1fce,c9201107-9d79-4cf0-8cc0-e71ff832ff4a,usr_003656,2021-08-05 10:06:32,Ooredoo,256kbps,0,0.0,1860,dns_failure,cdn-ruh-20,35423887
682507e4-481a-4c72-b1d7-3e19a666bba4,38306af7-24cd-480e-93e5-444a444ccfd4,usr_004057,2021-11-03 23:25:44,Batelco,320kbps,0,0.0575,1422,403_forbidden,cdn-ams-20,22355382
84d61f48-b8cc-4304-ba24-e9d19003eda7,e8c083cd-8c80-458b-ae53-1aa250352b00,usr_001020,2020-09-19 17:14:18,Ooredoo,128kbps,0,0.0,1220,dns_failure,cdn-fra-18,30871807
bdc8b058-61cd-48c0-aff8-78da4da41949,b9bdb167-def0-4e45-a493-742bf9cfc01f,usr_003116,2021-11-24 19:20:14,Unknown,256kbps,0,0.0544,2620,dns_failure,cdn-fra-03,26956476
1bf4c9c5-32fd-4ac2-9f30-3d2c9fc3eaf6,f6480bb6-d14d-4b18-b496-5f97551578ec,usr_002052,2020-11-10 20:21:04,Etisalat,128kbps,4,0.0,1208,dns_failure,cdn-fra-01,43774453
566d660d-c8e8-485a-81cd-4e0358669619,43f60d29-82a4-4f43-b740-c3188c675ad6,usr_004346,2022-05-11 08:38:03,STC,256kbps,0,0.0,1033,,cdn-fra-09,4709364
06804ad9-cad4-4be3-84d5-37f55d39d63e,8a375edb-c9b0-4a97-b5b2-25950a52b697,usr_002213,2022-09-02 09:16:36,Ooredoo,64kbps,0,0.1072,2012,,cdn-ams-13,1717981
d38c5533-3e63-4062-ab3e-424855ac917b,13960e07-24ee-4aa4-a188-e264f28acfbe,usr_000984,2022-01-09 13:20:25,Etisalat,64kbps,5,0.0,522,,cdn-fra-07,9781296
414c857e-9e1e-4a4c-b76c-855b2ef92f14,51270d31-619f-40d6-a62b-819d9d9dd7a9,usr_001760,2024-12-26 16:14:47,Zain,64kbps,4,0.0022,2111,,cdn-ruh-04,44647784
e3542d60-6038-4be4-9740-7f2a961f8e49,fdc79921-f692-4ea1-8b31-179008593de8,usr_002389,2023-08-01 23:23:01,Unknown,256kbps,4,0.0147,1896,,cdn-fra-04,42459384
0c2eea49-16af-427e-a310-67fcba5fb65d,70d6c5fd-ed3f-4d94-8ee6-ac8bdfbeba95,usr_002804,2022-02-21 18:40:41,du,256kbps,0,0.0,1110,,cdn-jed-18,23242329
0b1e9e58-94e3-4b3b-a0d3-aac496dbf398,d5382feb-bcac-48b6-b70d-b07825f28cce,usr_003983,2022-06-09 18:23:34,du,256kbps,0,0.0922,1614,,cdn-ams-07,8736799
0ee9e54a-1e01-4171-9346-6755ee30d3cf,98c8916f-4f7d-4926-8228-39b2c6f27e51,usr_003584,2021-09-14 11:24:09,STC,320kbps,1,0.0,1753,timeout,cdn-ams-17,40342306
9ce2fe1a-b31b-423f-b951-0623f9a000f5,ecddb8ea-bbf4-4e9a-8fdd-051ba83b00e8,usr_002461,2021-04-10 10:46:20,Batelco,256kbps,0,0.0,1283,,cdn-fra-16,42513814
246c5bcb-eda8-448d-aedf-e55fb06fbe18,ecddb8ea-bbf4-4e9a-8fdd-051ba83b00e8,usr_002461,2021-04-10 10:46:20,Mobily,128kbps,0,0.0242,-2494,,cdn-dxb-18,48181239
b475e76d-2147-4420-9035-c272d587669c,76247c01-0a63-4b2b-901b-a707bdd20166,usr_002298,2020-07-31 11:09:23,Mobily,256kbps,0,0.0,3041,,cdn-ruh-01,47968675
2c1b5182-9534-459d-8b98-457e6716c472,91f9cfc3-0dc1-49f5-826d-81d9c9d42cea,usr_004568,2023-11-04 13:10:25,Mobily,64kbps,0,0.0,-390,,cdn-fra-07,10489318
a13b6433-590e-4873-b0ba-bdad0fa240d1,91f9cfc3-0dc1-49f5-826d-81d9c9d42cea,usr_004568,2023-11-04 13:10:25,STC,256kbps,0,0.0147,1713,,cdn-fra-03,5293283
5786d33a-090c-4e8b-a6be-6b6ea1bccd52,4e7f294d-f4e0-4ac8-8b18-0de32aa8aa6a,usr_004767,2024-07-02 08:55:44,Mobily,256kbps,4,0.0428,614,connection_reset,cdn-dxb-10,34181829
9cf9c426-47a5-4bef-afb2-cfa71db43699,7f69819c-b0ec-41d7-92ca-6c628729ee5a,usr_003133,2024-06-10 11:20:31,Zain,64kbps,4,0.0,1751,,cdn-ruh-20,38319245
7503b87a-6eb0-42f1-a53e-018b9018802e,9835f35a-68ff-41f4-a442-e23a8780e901,usr_000636,2021-09-21 21:46:05,Mobily,256kbps,0,0.0,2637,dns_failure,cdn-ams-17,18442854
2184ac08-91ef-470b-a827-cb033056419f,69a93f3a-e1c4-46e3-91ba-adb64197fb26,usr_000483,2021-09-25 17:41:55,Mobily,128kbps,0,0.1108,534,,cdn-dxb-07,32628584
5048b494-dd4e-4cfb-b2bb-fd3088bdb37f,862cc841-ff06-46f8-8aeb-2168e93d2990,usr_002206,2023-10-06 21:18:44,Ooredoo,64kbps,0,0.0479,1529,,cdn-ruh-10,29904849
e71085e8-7ce1-4d0d-a221-db45b1e5456f,b232cbea-db1f-428b-bc9b-fa94cb2b5aa6,usr_001070,2020-09-17 09:15:51,Mobily,320kbps,0,0.0752,1009,,cdn-fra-01,9499072
9dc2e5ba-dbc8-4903-93e1-8cc56a3a677e,11d4d3c5-9644-4d52-9ef6-0cfaaf5530a4,usr_002008,2022-01-05 11:09:00,Batelco,256kbps,0,0.1486,1430,buffer_underrun,cdn-ruh-04,27597914
c77b2a21-59cf-45b4-9f23-94df6e7eebfe,bb29b1b9-89bd-4868-b9ff-ffd97f43bf3c,usr_003540,2021-08-05 19:26:12,du,256kbps,1,0.0,804,,cdn-dxb-11,45342266
