date,temp_max_f,temp_min_f,temp_avg_f,precipitation_in,snowfall_in,snow_depth_in,wind_speed_mph
2023-01-01,38.8,26.2,32.5,0.43,4.2,5.8,14.4
2023-01-02,44.0,29.1,36.5,0.42,2.2,1.5,12.7
2023-01-03,35.8,22.8,29.3,0.01,0.1,0.1,4.1
2023-01-04,38.0,23.4,30.7,0.58,3.3,2.0,7.0
2023-01-05,43.4,22.4,32.9,0.0,0.0,0.0,7.4
2023-01-06,33.4,30.7,32.0,0.0,0.0,0.0,7.3
2023-01-07,42.8,22.0,32.4,0.0,0.0,0.0,2.5
2023-01-08,35.9,29.7,32.8,0.41,2.3,1.7,10.6
2023-01-09,41.9,24.4,33.1,0.0,0.0,0.0,5.1
2023-01-10,40.5,30.0,35.2,0.0,0.0,0.0,4.7
2023-01-11,34.0,30.0,32.0,0.71,5.4,8.0,4.7
2023-01-12,34.6,23.8,29.2,0.0,0.0,0.0,0.9
2023-01-13,39.7,27.9,33.8,0.0,0.0,0.0,7.7
2023-01-14,42.9,34.6,38.8,0.0,0.0,0.0,5.1
2023-01-15,36.7,23.6,30.2,0.0,0.0,0.0,5.0
2023-01-16,40.5,27.0,33.8,0.68,6.2,8.7,5.7
2023-01-17,41.6,31.7,36.6,0.36,1.9,1.2,3.1
2023-01-18,33.1,25.6,29.4,0.0,0.0,0.0,8.7
2023-01-19,45.6,26.8,36.2,0.0,0.0,0.0,8.4
2023-01-20,38.9,25.8,32.4,0.0,0.0,0.0,2.0
2023-01-21,38.7,32.6,35.7,0.12,1.4,1.9,9.8
2023-01-22,39.0,31.6,35.3,0.78,5.5,6.3,3.8
2023-01-23,37.3,25.4,31.3,0.0,0.0,0.0,1.3
2023-01-24,37.4,26.8,32.1,0.0,0.0,0.0,8.0
2023-01-25,50.9,28.0,39.5,0.0,0.0,0.0,9.7
2023-01-26,35.8,34.6,35.2,0.0,0.0,0.0,10.9
2023-01-27,44.5,29.3,36.9,0.39,2.3,2.2,1.2
2023-01-28,35.8,25.9,30.8,0.0,0.0,0.0,5.6
2023-01-29,41.1,20.6,30.9,0.27,1.9,2.8,5.5
2023-01-30,35.2,24.9,30.1,0.35,2.6,2.8,8.4
2023-01-31,43.0,32.0,37.5,0.51,5.8,7.9,10.7
2023-02-01,43.8,27.4,35.6,0.19,2.2,2.4,1.1
2023-02-02,43.7,29.7,36.7,0.19,1.5,1.4,1.7
2023-02-03,43.9,23.5,33.7,0.22,1.7,1.4,10.0
2023-02-04,39.3,30.4,34.8,0.0,0.0,0.0,12.1
2023-02-05,41.5,31.8,36.6,0.0,0.0,0.0,0.6
2023-02-06,45.7,27.6,36.7,0.0,0.0,0.0,7.6
2023-02-07,49.0,19.8,34.4,0.0,0.0,0.0,9.4
2023-02-08,39.7,26.0,32.9,0.0,0.0,0.0,8.2
2023-02-09,46.8,30.2,38.5,0.0,0.0,0.0,7.3
2023-02-10,50.9,24.8,37.9,0.0,0.0,0.0,9.2
2023-02-11,48.6,28.7,38.6,0.0,0.0,0.0,9.9
2023-02-12,45.7,34.0,39.9,0.0,0.0,0.0,7.0
2023-02-13,42.2,27.4,34.8,0.0,0.0,0.0,0.2
2023-02-14,42.0,34.4,38.2,0.77,0.0,0.0,10.1
